id,stop_id,name,linia,stop_type,geometry
ST-FRMC,FRMC,Francesc Macià,IU Stop,Tram,POINT (2.143174886703491 41.3922004699707)
ST-ILLA,ILLA,L'Illa,IU Stop,Tram,POINT (2.1364970207214355 41.390560150146484)
ST-NMNC,NMNC,Numància,IU Stop,Tram,POINT (2.131953001022339 41.389339447021484)
ST-MRCR,MRCR,Maria Cristina,IU Stop,Tram,POINT (2.1265079975128174 41.387969970703125)
ST-PIUS,PIUS,Pius XII,IU Stop,Tram,POINT (2.121603012084961 41.38671875)
ST-PLRL,PLRL,Palau Reial,IU Stop,Tram,POINT (2.1184608936309814 41.385921478271484)
ST-UNIV,UNIV,Zona Universitària,IU Stop,Tram,POINT (2.114435911178589 41.38426971435547)
ST-XILE,XILE,Avinguda de Xile,IU Stop,Tram,POINT (2.1148359775543213 41.380741119384766)
ST-LLUC,LLUC,Ernest Lluch,IU Stop,Tram,POINT (2.110785961151123 41.37648010253906)
ST-SRMN,SRMN,Can Rigal,IU Stop,Tram,POINT (2.1059279441833496 41.376121520996094)
ST-OLIV,OLIV,Ca n'Oliveres,IU Stop,Tram,POINT (2.0984079837799072 41.376609802246094)
ST-CLOT,CLOT,Can Clota,IU Stop,Tram,POINT (2.093522071838379 41.37696075439453)
ST-PTSP,PTSP,Pont d'Esplugues,IU Stop,Tram,POINT (2.088606119155884 41.3768310546875)
ST-SRDN,SRDN,La Sardana,IU Stop,Tram,POINT (2.08400297164917 41.3727912902832)
ST-MNTS,MNTS,Montesa,IU Stop,Tram,POINT (2.080928087234497 41.36956024169922)
ST-PDRO,PDRO,El Pedró,IU Stop,Tram,POINT (2.0766749382019043 41.365318298339844)
ST-IIGL,IIGL,Ignasi Iglésias,IU Stop,Tram,POINT (2.072671890258789 41.36124038696289)
ST-CNLL,CNLL,Cornellà Centre,IU Stop,Tram,POINT (2.0699169635772705 41.35744094848633)
ST-AIGU,AIGU,Les Aigües,IU Stop,Tram,POINT (2.0660688877105713 41.35667037963867)
ST-FTJO,FTJO,Fontsanta | Fatjó,IU Stop,Tram,POINT (2.0622220039367676 41.3603401184082)
ST-BVIA,BVIA,Bon Viatge,IU Stop,Tram,POINT (2.058816909790039 41.36460876464844)
ST-CTMP,CTMP,Centre Miquel Martí i Pol,IU Stop,Tram,POINT (2.071197032928467 41.36865997314453)
ST-FSTA,FSTA,La Fontsanta,IU Stop,Tram,POINT (2.062952995300293 41.36779022216797)
ST-BDOR,BDOR,Llevant - Les planes,IU Stop,Tram,POINT (2.0761170387268066 41.37086868286133)
ST-HTV3,HTV3,Hospital Sant Joan Despí | TV3,IU Stop,Tram,POINT (2.0756781101226807 41.37239074707031)
ST-RBSJ,RBSJ,Rambla de Sant Just,IU Stop,Tram,POINT (2.075050115585327 41.37882995605469)
ST-WLDN,WLDN,Walden,IU Stop,Tram,POINT (2.066896915435791 41.37971878051758)
ST-TRBL,TRBL,Torreblanca,IU Stop,Tram,POINT (2.0608251094818115 41.3797607421875)
ST-CCML,CCML,Sant Feliu | Consell Comarcal,IU Stop,Tram,POINT (2.0533719062805176 41.37936019897461)
ST-DGMR,DGMR,El Maresme,IU Stop,Tram,POINT (2.2156310081481934 41.41048812866211)
ST-FRUM,FRUM,Fòrum,IU Stop,Tram,POINT (2.2198500633239746 41.41183090209961)
ST-CDBE,CDBE,Campus Diagonal - Besòs,IU Stop,Tram,POINT (2.222928047180176 41.41524887084961)
ST-PORT,PORT,Port Fòrum,IU Stop,Tram,POINT (2.226161003112793 41.41886901855469)
ST-SABS,SABS,Estació de Sant Adrià,IU Stop,Tram,POINT (2.2305500507354736 41.4239501953125)
ST-STMR,STMR,Sant Martí de Provençals,IU Stop,Tram,POINT (2.2047441005706787 41.41646957397461)
ST-BSOS,BSOS,Besòs,IU Stop,Tram,POINT (2.2095561027526855 41.42007064819336)
ST-ALFS,ALFS,Alfons el Magnànim,IU Stop,Tram,POINT (2.213568925857544 41.41719055175781)
ST-PARC,PARC,Parc del Besòs,IU Stop,Tram,POINT (2.217633008956909 41.419429779052734)
ST-CTLN,CTLN,La Catalana,IU Stop,Tram,POINT (2.2219529151916504 41.42264938354492)
ST-STJB,STJB,Sant Joan Baptista,IU Stop,Tram,POINT (2.225403070449829 41.427391052246094)
ST-NKNS,NKNS,Encants de Sant Adrià,IU Stop,Tram,POINT (2.2226059436798096 41.430240631103516)
ST-STRC,STRC,Sant Roc,IU Stop,Tram,POINT (2.2275969982147217 41.434940338134766)
ST-GORG,GORG,Gorg,IU Stop,Tram,POINT (2.2332189083099365 41.43996810913086)
ST-MINA,MINA,La Mina,IU Stop,Tram,POINT (2.2209999561309814 41.41838073730469)
